jobID,user,account,jobname,queue,walltime,exit_status,start,end,submit,nnodes,ncpus
jobID8719675,USER516,ACCOUNT2808,JOB1469384,QUEUE4,719,COMPLETED,03/02/2018 15:42:21,03/02/2018 15:52:23,03/02/2018 15:42:20,1,16
jobID8719676,USER13117,ACCOUNT123,JOB675307,QUEUE2,30,CANCELLED,03/02/2018 16:06:26,03/02/2018 16:06:30,03/02/2018 16:06:25,1,16
jobID8719677,USER13117,ACCOUNT123,JOB1469385,QUEUE4,30,CANCELLED,03/02/2018 16:06:49,03/02/2018 16:09:07,03/02/2018 16:06:48,4,64
jobID8719678,USER13117,ACCOUNT123,JOB992878,QUEUE2,30,CANCELLED,03/02/2018 16:10:07,03/02/2018 16:11:50,03/02/2018 16:10:07,2,32
jobID8719679,USER516,ACCOUNT2808,JOB1469386,QUEUE4,900,COMPLETED,03/02/2018 15:54:53,03/02/2018 16:16:08,03/02/2018 15:54:53,1,16
jobID8719680,USER516,ACCOUNT2808,JOB1469387,QUEUE4,900,COMPLETED,03/02/2018 14:56:30,03/02/2018 16:18:58,03/02/2018 14:56:30,1,16
jobID8719681,USER7701,ACCOUNT3255,JOB68,QUEUE9,120,TIMEOUT,03/02/2018 14:28:40,03/02/2018 16:29:06,03/02/2018 14:28:31,3,48
jobID8719682,USER13117,ACCOUNT123,JOB1016035,QUEUE2,30,CANCELLED,03/02/2018 16:12:13,03/02/2018 16:31:38,03/02/2018 16:12:12,4,64
jobID8719683,USER516,ACCOUNT2808,JOB1469388,QUEUE4,900,COMPLETED,03/02/2018 14:57:56,03/02/2018 17:04:22,03/02/2018 14:57:56,1,16
jobID8719684,USER5508,ACCOUNT124,JOB298,QUEUE9,240,COMPLETED,03/02/2018 14:19:07,03/02/2018 17:37:22,03/02/2018 14:19:06,1,16
jobID8719685,USER516,ACCOUNT2808,JOB1469389,QUEUE4,900,COMPLETED,03/02/2018 14:19:52,03/02/2018 18:45:35,03/02/2018 14:19:43,1,16
jobID8719686,USER516,ACCOUNT2808,JOB1469390,QUEUE8,2876,COMPLETED,03/02/2018 19:16:12,03/02/2018 19:49:50,03/02/2018 19:16:11,1,32
jobID8719687,USER516,ACCOUNT2808,JOB1469391,QUEUE4,900,COMPLETED,03/02/2018 14:18:07,03/02/2018 20:02:12,03/02/2018 14:18:06,1,16
jobID8719688,USER516,ACCOUNT2808,JOB1469392,QUEUE4,900,COMPLETED,03/02/2018 14:20:21,03/02/2018 20:03:02,03/02/2018 14:20:21,1,16
jobID8719689,USER516,ACCOUNT2808,JOB1469393,QUEUE4,900,COMPLETED,03/02/2018 14:21:11,03/02/2018 20:04:31,03/02/2018 14:21:10,1,16
jobID8719690,USER516,ACCOUNT2808,JOB1469394,QUEUE4,900,COMPLETED,03/02/2018 14:21:37,03/02/2018 20:21:20,03/02/2018 14:21:30,1,16
jobID8719691,USER516,ACCOUNT2808,JOB1469395,QUEUE4,720,COMPLETED,03/02/2018 20:01:51,03/02/2018 20:29:50,03/02/2018 20:01:51,1,16
jobID8719692,USER516,ACCOUNT2808,JOB1469396,QUEUE8,2876,COMPLETED,03/02/2018 20:06:47,03/02/2018 21:18:41,03/02/2018 20:06:47,1,32
jobID8719693,USER516,ACCOUNT2808,JOB1469397,QUEUE8,2876,COMPLETED,03/02/2018 21:29:57,03/02/2018 21:36:52,03/02/2018 21:29:57,1,32
jobID8719694,USER516,ACCOUNT2808,JOB1469398,QUEUE8,2876,COMPLETED,03/02/2018 21:46:33,03/02/2018 21:59:19,03/02/2018 21:46:33,1,32
jobID8719695,USER516,ACCOUNT2808,JOB1469399,QUEUE8,2876,COMPLETED,03/02/2018 22:11:54,03/02/2018 22:34:44,03/02/2018 22:11:54,1,32
jobID8719696,USER516,ACCOUNT2808,JOB1469400,QUEUE4,720,COMPLETED,03/02/2018 22:37:00,03/02/2018 23:02:12,03/02/2018 22:37:00,1,16
